(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0BF1929R2,B0BBPJ4V7Q,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (24oz, 12 Count)",RC-PBL-118059,"4,256",75,0.09%,0.09%,"5,007",97,0.08%,0.09%,98.95%,96.88%,"1,981",32,46.55%,42.67%,"$91,122.35","$1,471.24","1,659",29
B0BWLP5NDS,B0CPHQM1VL,Advanced Soft Chews Hip and Joint Support Supplement for Small Dogs - Movoflex 120 Count by Virbac,RC-VB-118150-2pk,"6,798",130,0.14%,0.16%,"8,313",177,0.13%,0.16%,96.33%,98.86%,"1,646",20,24.21%,15.38%,"$173,372.54","$2,114.66","1,625",20
B0BF1929R2,B09NF8L5Q4,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (12oz, 9 Count)",RC-PBL-115812,"12,946",193,0.27%,0.24%,"15,752",228,0.24%,0.21%,37.95%,44.03%,"1,795",12,13.87%,6.22%,"$41,282.94",$265.76,"1,603",12
B0D917HN9B,B09NCMGJCL,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (12oz, 21 Count)",RC-PBL-115816,"4,815",58,0.10%,0.07%,"6,444",75,0.10%,0.07%,99.54%,96.88%,"1,684",7,34.97%,12.07%,"$38,715.02",$160.79,"1,581",7
B0DJH1T1JC,B0BBPJ4V7Q,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (24oz, 12 Count)",RC-PBL-118059,"3,003",55,0.06%,0.07%,"3,638",60,0.06%,0.05%,99.45%,100.00%,"1,843",17,61.37%,30.91%,"$86,299.58",$800.02,"1,522",17
B0CLYS2FZ8,B00U1BUZRG,"Canine Caviar - Open Meadow: Lamb & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (22 Pound Bag)",RC-CAN-801001,"3,655",75,0.08%,0.09%,"5,212",108,0.08%,0.10%,76.15%,91.92%,"1,580",25,43.23%,33.33%,"$152,851.27","$2,334.88","1,482",16
B07CTY1K6Q,B07CTY1K6Q,"Virbac Effipro PLUS Topical Solution For Cats, 3 Month Supply",RB-VB-063670,"10,175",198,0.21%,0.24%,"14,570",250,0.23%,0.23%,65.54%,61.01%,"1,789",14,17.58%,7.07%,"$65,036.64",$473.38,"1,425",10
B0D917HN9B,B09NB1XG6T,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (12oz, 48 Count)",RC-PBL-115807,"5,049",68,0.10%,0.08%,"6,852",96,0.11%,0.09%,83.06%,78.38%,"1,433",14,28.38%,20.59%,"$32,800.35",$319.96,"1,352",14
B00AT6FY6A,B00AT6FY6A,"Virbac Knockout E.S. Area Treatment Carpet Spray, 16-Ounce",RC-VB-013855-1,"43,522",859,0.90%,1.05%,"67,576","1,271",1.05%,1.16%,10.64%,8.91%,"1,641",37,3.77%,4.31%,"$54,772.50","$1,210.50","1,336",25
B0D917HN9B,B0BBP799GW,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (24oz, 30 Count)",RC-PBL-118061,"2,202",22,0.05%,0.03%,"2,930",27,0.05%,0.02%,98.90%,100.00%,"1,413",21,64.17%,95.45%,"$62,577.72",$928.70,"1,269",19
B00C8RJ3BA,B00C8RJ3BA,vetone DuoClenz Enzyme Coated Dental Chews for Medium Size Dogs 30 Count,RC-V1-510058-1,"5,315",89,0.11%,0.11%,"7,616",118,0.12%,0.11%,24.63%,49.04%,"1,548",22,29.13%,24.72%,"$27,448.78",$381.68,"1,263",16
B0D917HN9B,B09NF8QT94,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (12oz, 15 Count)",RC-PBL-115817,"5,188",72,0.11%,0.09%,"6,957",101,0.11%,0.09%,79.67%,85.71%,"1,418",24,27.33%,33.33%,"$32,781.36",$551.30,"1,263",20
B000HHM9WI,B000HHM9WI,ANIMED Pure MSM 5lb,RB-ANI-005129M,"4,760",116,0.10%,0.14%,"6,892",168,0.11%,0.15%,55.15%,59.28%,"1,324",47,27.82%,40.52%,"$47,893.33","$1,706.72","1,201",30
B0D917HN9B,B0BBPYT5HH,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (24oz, 42 Count)",RC-PBL-118063,"2,138",31,0.04%,0.04%,"2,941",38,0.05%,0.03%,98.45%,100.00%,"1,303",9,60.94%,29.03%,"$57,501.46",$395.32,"1,169",9
B0DJH1T1JC,B0D6915M4B,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (36oz, 45 Count)",RB-PBL-124251,"3,298",63,0.07%,0.08%,"4,099",78,0.06%,0.07%,99.54%,100.00%,"1,249",13,37.87%,20.63%,"$82,676.46",$857.71,"1,160",10
B0BVKV19ZP,B0BY9MG2H7,Nadri Leverback Earrings for Women - 18k-Gold-Plated Clip Earrings for Women - Cushion Cut Cubic Zirconia Stones - Hypoallergenic Jewelry - Christmas Gifts,RB-NAD-AV40578GCZ-MB,"47,380",417,0.98%,0.51%,"62,665",605,0.97%,0.55%,98.81%,98.67%,"1,141",13,2.41%,3.12%,"$51,255.00",$585.00,"1,116",13
B07Y667J6Y,B07Y667J6Y,ALLERDERM Foaming Cleanser- Rinse-Free Waterless Micellar Foam for Dogs and Cats with Sensitive Skin by Virbac,RB-VB-119092,"10,558",209,0.22%,0.26%,"14,380",253,0.22%,0.23%,92.22%,88.48%,"1,159",29,10.98%,13.88%,"$26,071.31",$659.17,"1,088",16
B0C78H2KQ4,B07HWTT4WY,"Learning Dynamics 4 Weeks to Read – Learn How to Read & Write Program Includes 53 Books, Teaching Manual, Activity Workbooks, CD, Flashcards , Manipulatives – Teaches Letters, Phonics & Reading",RB-LD-ReadKit,"54,542","1,124",1.13%,1.38%,"70,853","1,505",1.10%,1.38%,80.18%,76.59%,"1,085",125,1.99%,11.12%,"$102,918.48","$12,313.68","1,048",101
B085SLZPC7,B085SLZPC7,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Yellow/Gray",RC-SOL-033248,"28,998",483,0.60%,0.59%,"42,433",711,0.66%,0.65%,89.72%,83.33%,"1,037",35,3.58%,7.25%,"$236,995.68","$8,005.92","1,032",31
B0827CX8CN,B0827CX8CN,"Vet One Chlorhexidine Antibacterial Body Wash - Aloe Vera Face Scrub & Body Scrub, Skin Cleanser, Acne Face Wash, Anti Bacterial Body Soap 1 Gallon, Antiseptic Skin Cleanser & Face Exfoliating Scrub",RC-V1-510083,"18,558",760,0.39%,0.93%,"26,303","1,028",0.41%,0.94%,97.04%,98.33%,"1,068",83,5.75%,10.92%,"$47,920.68","$3,564.87","1,015",68
B0C46YD6VC,B084KGJGPM,"Buddeez Flour and Sugar Container - 4 Quart All Purpose Kitchen Organization and Storage Unit, Dry Storage Container For Kitchen, Large Food Storage Container for Organizing Your Pantry (Red Lid)",RC-BUD-00606R-7427-ONL,"21,676",457,0.45%,0.56%,"28,800",611,0.45%,0.56%,75.01%,81.84%,"1,168",50,5.39%,10.94%,"$23,932.70","$1,033.09",957,36
B0BVKV1BBS,B0BY9MWPX8,Nadri Oval Earrings Studs for Women - Rhodium Plated Cubic Zirconia Earrings for Women - Hypoallergenic Studs - Bridal Gifts and Wedding Jewelry,RB-NAD-AO40571RCZ-MB,"17,605",219,0.37%,0.27%,"23,097",293,0.36%,0.27%,99.71%,97.19%,952,11,5.41%,5.02%,"$33,145.00",$385.00,941,10
